"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",54.2222719369541,0.173655872737675,312.239782520125,0
"p2less18",-1.34466134062073,0.0634091922701537,-21.2060947707996,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000145814051394705
