"sized_f","emmean","SE","df","lower.CL","upper.CL"
"Non-City",6.09374999999999,0.0746251315336211,312,5.94691785257734,6.24058214742265
"City",5.83124999999999,0.0746251315336211,312,5.68441785257734,5.97808214742265
